name,ministry,salary,bank_account,bank_name,biometric_id,attendance_rate,employment_date,id
Aisha Mohammed,Ministry of Power,307577,5620698292,Zenith,BIO_45120,89.9,2020-11-12,EMP_003050
Chinedu Onyeka,Ministry of Agriculture,486651,3936522402,First Bank,BIO_98705,92.88,2019-11-27,EMP_003051
Ade Adebayo,Nigeria Customs Service,271762,1631022073,Access,BIO_83209,90.52,2021-09-11,EMP_003052
Chukwu Ani,Ministry of Finance,175961,7918861502,UBA,BIO_95089,93.45,2017-11-16,EMP_003053
Chukwu Nwankwo,Ministry of Health,389559,8651215931,UBA,BIO_22139,87.16,2016-11-05,EMP_003054
Ibrahim Yusuf,Ministry of Works,191427,3329640890,GTBank,BIO_57699,97.03,2017-12-24,EMP_003055
Amina Suleiman,Ministry of Health,179897,6622896394,GTBank,BIO_41857,94.31,2021-04-14,EMP_003056
Okechukwu Eze,Nigeria Customs Service,433342,7437264779,UBA,BIO_22806,87.14,2018-01-02,EMP_003057
Okechukwu Okafor,Civil Service Commission,88511,9705151790,Zenith,BIO_11240,97.59,2022-03-29,EMP_003058
Dele Ogunlesi,Ministry of Agriculture,357221,7563296839,GTBank,BIO_52384,91.68,2021-06-10,EMP_003059
Amina Mohammed,Ministry of Agriculture,468883,5705895627,Access,BIO_63902,94.41,2024-04-03,EMP_003060
Femi Williams,Federal Roads Maintenance Agency,145198,6016322369,Access,BIO_74597,88.28,2022-01-27,EMP_003061
Dele Ogunlesi,Ministry of Education,109773,7754775732,First Bank,BIO_53402,85.42,2016-10-13,EMP_003062
Nnamdi Nwankwo,Ministry of Works,260118,5652317533,GTBank,BIO_98640,98.25,2021-04-24,EMP_003063
Fatima Suleiman,Ministry of Agriculture,436799,6544584707,First Bank,BIO_42109,85.53,2022-10-27,EMP_003064
Bola Adeyemi,Ministry of Agriculture,246624,5672098763,UBA,BIO_88140,91.14,2019-11-09,EMP_003065
Adaeze Ani,Ministry of Education,286414,1963053758,GTBank,BIO_56646,88.43,2018-09-12,EMP_003066
Hassan Umar,Federal Roads Maintenance Agency,499386,7391128238,GTBank,BIO_17921,92.95,2019-08-19,EMP_003067
Ade Adebayo,Ministry of Agriculture,336205,7425769101,Zenith,BIO_97362,89.66,2020-09-21,EMP_003068
Ade Ogunlesi,Nigeria Customs Service,422512,9822961201,First Bank,BIO_88037,92.66,2017-12-26,EMP_003069
Okechukwu Ani,Ministry of Agriculture,99584,5652838348,Access,BIO_17451,90.2,2018-12-10,EMP_003070
Okechukwu Nwankwo,Ministry of Health,245967,5912726405,First Bank,BIO_62609,88.99,2018-01-22,EMP_003071
Tayo Oyedepo,Ministry of Education,143913,9900492315,Zenith,BIO_33390,97.22,2023-11-18,EMP_003072
Ibrahim Ibrahim,Federal Roads Maintenance Agency,198391,2523527109,UBA,BIO_12269,92.33,2023-08-20,EMP_003073
Hassan Musa,Ministry of Works,375969,4660978432,Access,BIO_49982,97.43,2021-02-21,EMP_003074
Tayo Oyedepo,Ministry of Education,375209,8034135870,First Bank,BIO_71830,93.92,2024-10-19,EMP_003075
Adaeze Nwankwo,Federal Roads Maintenance Agency,199519,8732994396,First Bank,BIO_97503,85.95,2022-01-21,EMP_003076
Tayo Adeyemi,Ministry of Agriculture,425868,2669472927,Access,BIO_74308,89.46,2020-07-29,EMP_003077
Zainab Musa,Ministry of Works,342706,6517514342,Zenith,BIO_93993,88.1,2020-01-06,EMP_003078
Fatima Ibrahim,Ministry of Works,458004,6288334605,First Bank,BIO_11989,94.73,2023-10-09,EMP_003079
Chinedu Ani,Ministry of Power,462997,4518994539,Access,BIO_15706,94.61,2018-09-13,EMP_003080
Femi Oyedepo,Ministry of Power,123056,3327191226,GTBank,BIO_41870,87.94,2020-08-12,EMP_003081
Bola Adebayo,Ministry of Power,213246,6662173785,GTBank,BIO_66086,85.32,2020-02-09,EMP_003082
Aisha Suleiman,Ministry of Works,489800,6997840475,GTBank,BIO_10897,87.95,2022-02-14,EMP_003083
Usman Musa,Civil Service Commission,178822,3938254545,Access,BIO_19792,97.97,2022-05-23,EMP_003084
Adaeze Okonkwo,Ministry of Power,238782,6904513512,Zenith,BIO_23010,89.54,2024-01-26,EMP_003085
Amina Musa,Civil Service Commission,153123,9270003984,Access,BIO_70668,90.75,2018-06-29,EMP_003086
Fatima Umar,Nigeria Customs Service,330818,7792383740,GTBank,BIO_81414,86.71,2023-05-17,EMP_003087
Aisha Suleiman,Ministry of Water Resources,229229,1569893384,Access,BIO_86116,91.84,2018-11-13,EMP_003088
Amina Yusuf,Ministry of Agriculture,219802,8767259783,GTBank,BIO_98689,96.55,2017-01-15,EMP_003089
Chiamaka Ani,Ministry of Agriculture,82653,6615415367,GTBank,BIO_32775,90.31,2017-04-13,EMP_003090
Zainab Yusuf,Ministry of Health,459577,3929782321,UBA,BIO_25254,91.42,2019-01-19,EMP_003091
Ibrahim Yusuf,Ministry of Water Resources,138081,4741203664,Access,BIO_31373,86.37,2017-10-13,EMP_003092
Usman Yusuf,Ministry of Education,350936,3651840219,First Bank,BIO_55754,97.22,2023-09-20,EMP_003093
Ade Adebayo,Ministry of Agriculture,268939,7475303149,UBA,BIO_80885,96.09,2021-05-29,EMP_003094
Bola Oyedepo,Federal Roads Maintenance Agency,360435,4943456812,UBA,BIO_82135,93.25,2017-09-06,EMP_003095
Amina Ibrahim,Federal Roads Maintenance Agency,324463,9272953050,UBA,BIO_89989,91.99,2017-03-05,EMP_003096
Okechukwu Okonkwo,Ministry of Health,384891,8066699204,Access,BIO_95092,92.3,2017-09-22,EMP_003097
Hassan Umar,Ministry of Education,305151,8530239281,Access,,99.9,2026-01-11,EMP_003098
Aisha Suleiman,Ministry of Power,119293,9662814804,First Bank,BIO_78677,97.97,2020-10-05,EMP_003099
Usman Musa,Ministry of Works,287418,1412740607,First Bank,BIO_22375,87.46,2020-06-12,EMP_003100
Chioma Okafor,Ministry of Finance,378297,5618652173,First Bank,BIO_25503,85.29,2016-05-24,EMP_003101
Chinedu Nwankwo,Ministry of Agriculture,269699,4238535864,UBA,BIO_36768,85.24,2016-12-27,EMP_003102
Bola Oyedepo,Federal Roads Maintenance Agency,384205,7328463019,Zenith,BIO_96981,89.99,2016-07-14,EMP_003103
Ibrahim Ahmad,Civil Service Commission,416698,1160085926,GTBank,BIO_62433,97.8,2023-07-11,EMP_003104
Okechukwu Eze,Ministry of Water Resources,227417,2869532990,Zenith,BIO_27775,97.87,2019-12-09,EMP_003105
Ade Oyedepo,Ministry of Finance,472857,1096496559,Access,BIO_52405,96.95,2021-08-02,EMP_003106
Aisha Ibrahim,Federal Roads Maintenance Agency,273502,4214695645,UBA,BIO_49193,86.11,2024-11-19,EMP_003107
Ade Adeyemi,Ministry of Education,464952,7430858434,GTBank,BIO_15443,96.24,2020-11-22,EMP_003108
Bola Adebayo,Ministry of Works,452068,1394851282,First Bank,BIO_87266,88.05,2024-11-24,EMP_003109
Ade Oyedepo,Federal Roads Maintenance Agency,182246,8736285575,First Bank,BIO_43697,91.31,2017-10-12,EMP_003110
Amina Suleiman,Ministry of Agriculture,156864,5868429080,UBA,BIO_91430,90.72,2021-01-19,EMP_003111
Yemi Adeyemi,Civil Service Commission,212033,1810432007,Zenith,BIO_54304,90.15,2018-05-27,EMP_003112
Chinedu Nwosu,Nigeria Customs Service,83397,2757724778,GTBank,BIO_23954,95.02,2025-01-26,EMP_003113
Chukwu Ani,Ministry of Education,267784,8913669868,Access,BIO_76796,86.91,2021-01-05,EMP_003114
Femi Adeleke,Ministry of Works,162614,6955751731,GTBank,BIO_38132,96.38,2025-01-13,EMP_003115
Ibrahim Ibrahim,Ministry of Works,417672,7359914469,First Bank,BIO_37391,87.48,2019-10-29,EMP_003116
Abubakar Umar,Federal Roads Maintenance Agency,99054,9919222982,Access,BIO_45649,86.35,2022-06-09,EMP_003117
Kemi Williams,Ministry of Water Resources,351619,3018851860,GTBank,BIO_26425,93.52,2018-03-27,EMP_003118
Chinedu Okafor,Nigeria Customs Service,446607,8171993625,GTBank,BIO_34517,93.07,2024-11-16,EMP_003119
Nnamdi Obiora,Ministry of Agriculture,157700,9235261109,UBA,BIO_45015,96.67,2024-10-06,EMP_003120
Chioma Eze,Ministry of Water Resources,481637,5067737126,Access,,99.9,2026-03-04,EMP_003121
Ade Oyedepo,Ministry of Works,133724,7790991616,UBA,BIO_90100,91.44,2019-06-12,EMP_003122
Bola Adeyemi,Ministry of Water Resources,281071,3318603515,GTBank,BIO_23372,87.88,2020-12-08,EMP_003123
Chiamaka Eze,Ministry of Water Resources,296401,9450200165,Access,BIO_56198,87.06,2016-11-27,EMP_003124
Aisha Mohammed,Federal Roads Maintenance Agency,390490,5448950281,GTBank,BIO_17857,97.17,2024-10-17,EMP_003125
Hassan Yusuf,Ministry of Water Resources,162350,7273308755,Access,BIO_28687,88.68,2016-12-23,EMP_003126
Tunde Adebayo,Ministry of Agriculture,256597,7231253269,First Bank,BIO_16025,90.42,2022-03-04,EMP_003127
Bola Adeleke,Ministry of Works,161634,4036802485,UBA,BIO_11111,95.07,2021-03-17,EMP_003128
Nnamdi Okonkwo,Nigeria Customs Service,291210,4483908818,UBA,BIO_26589,87.05,2021-09-27,EMP_003129
Fatima Ahmad,Civil Service Commission,436910,3608712917,GTBank,BIO_53809,96.11,2024-03-02,EMP_003130
Femi Adeleke,Ministry of Works,283400,2286585150,UBA,BIO_22192,88.53,2024-02-01,EMP_003131
Ade Oyedepo,Ministry of Works,181787,1988000947,Zenith,BIO_62711,96.79,2019-01-08,EMP_003132
Uchenna Ani,Civil Service Commission,479474,2006752034,First Bank,BIO_93593,85.92,2021-01-27,EMP_003133
Okechukwu Ani,Ministry of Power,282926,9084259003,UBA,BIO_90596,96.71,2017-10-19,EMP_003134
Amina Mohammed,Ministry of Works,99333,9345833633,UBA,BIO_50097,94.62,2022-05-13,EMP_003135
Hassan Ibrahim,Federal Roads Maintenance Agency,367710,1492272354,Zenith,BIO_19170,90.98,2024-08-16,EMP_003136
Chinedu Onyeka,Ministry of Education,457317,2574969537,GTBank,BIO_40932,96.63,2019-09-29,EMP_003137
Usman Ahmad,Ministry of Education,242313,4376097087,GTBank,BIO_31621,94.11,2022-06-18,EMP_003138
Chukwu Ani,Ministry of Finance,122089,6366144200,UBA,BIO_64675,95.09,2021-11-20,EMP_003139
Usman Suleiman,Ministry of Water Resources,354365,8893000044,Zenith,BIO_94414,94.08,2024-10-02,EMP_003140
Dele Adebayo,Ministry of Health,255030,7482156556,Zenith,BIO_54636,88.17,2017-04-22,EMP_003141
Femi Adeleke,Nigeria Customs Service,1105715,3667250796,Access,BIO_63947,89.4,2025-11-21,EMP_003142
Ade Adebayo,Ministry of Finance,105245,6947060945,Zenith,BIO_65602,85.37,2019-01-20,EMP_003143
Amina Ahmad,Ministry of Works,201696,4070604873,GTBank,BIO_65736,88.18,2017-06-12,EMP_003144
Chukwu Onyeka,Nigeria Customs Service,132970,5939086405,GTBank,BIO_13554,94.27,2019-11-30,EMP_003145
Abubakar Yusuf,Nigeria Customs Service,119989,3550446643,UBA,BIO_30408,90.43,2019-07-29,EMP_003146
Femi Adebayo,Nigeria Customs Service,139035,6783028526,Access,BIO_44249,93.83,2022-09-30,EMP_003147
Tayo Williams,Federal Roads Maintenance Agency,426819,9807746413,UBA,BIO_20116,87.47,2023-07-06,EMP_003148
Yemi Williams,Ministry of Health,226735,7224171913,GTBank,BIO_18267,92.13,2017-02-22,EMP_003149
Femi Williams,Federal Roads Maintenance Agency,418394,9046651467,Zenith,BIO_80242,87.24,2019-10-26,EMP_003150
Amina Suleiman,Ministry of Works,204555,7349488088,First Bank,BIO_33091,88.49,2021-05-09,EMP_003151
Dele Adeleke,Ministry of Health,190343,8244076970,Zenith,BIO_27587,93.0,2024-10-01,EMP_003152
Femi Adeleke,Ministry of Finance,435994,5591137682,First Bank,BIO_89710,95.25,2018-10-29,EMP_003153
Zainab Ibrahim,Federal Roads Maintenance Agency,280268,8759662126,Access,BIO_80458,86.5,2017-09-25,EMP_003154
Chioma Onyeka,Nigeria Customs Service,427929,3142807294,UBA,BIO_14786,93.7,2023-10-09,EMP_003155
Chukwu Nwosu,Nigeria Customs Service,381350,2804857982,GTBank,BIO_57398,97.77,2024-09-30,EMP_003156
Chioma Obiora,Ministry of Agriculture,191998,6791007488,Access,BIO_14078,92.83,2022-06-25,EMP_003157
Fatima Ibrahim,Federal Roads Maintenance Agency,268229,9369646151,UBA,BIO_32391,97.41,2025-05-12,EMP_003158
Adaeze Nwosu,Ministry of Water Resources,128937,4430287570,GTBank,BIO_36059,95.78,2024-04-20,EMP_003159
Fatima Mohammed,Ministry of Education,174092,4952573660,Zenith,BIO_86898,88.25,2021-09-03,EMP_003160
Aisha Mohammed,Ministry of Education,98714,1200630931,First Bank,BIO_12816,97.08,2017-09-29,EMP_003161
Ade Ogunlesi,Nigeria Customs Service,429707,7779079879,GTBank,BIO_23019,94.21,2023-10-30,EMP_003162
Tunde Williams,Ministry of Health,145797,8402441693,Access,BIO_85053,87.81,2020-08-30,EMP_003163
Tunde Adeleke,Federal Roads Maintenance Agency,266118,9577598409,First Bank,BIO_63122,90.38,2024-08-24,EMP_003164
Amina Yusuf,Nigeria Customs Service,252109,2726941169,UBA,BIO_85682,97.05,2019-12-09,EMP_003165
Yemi Adeyemi,Ministry of Health,216972,5727970270,Zenith,BIO_64599,96.6,2024-03-03,EMP_003166
Kemi Adebayo,Federal Roads Maintenance Agency,372298,1055548013,GTBank,,99.9,2025-02-03,EMP_003167
Okechukwu Ani,Ministry of Power,279867,7978633782,GTBank,BIO_13701,90.86,2018-02-21,EMP_003168
Ade Adebayo,Ministry of Finance,416456,7379146844,Zenith,BIO_59587,91.83,2020-09-08,EMP_003169
Tunde Ogunlesi,Ministry of Education,227723,1731214776,GTBank,BIO_35660,92.11,2023-10-29,EMP_003170
Ibrahim Umar,Federal Roads Maintenance Agency,365407,1273794695,UBA,BIO_73460,89.73,2018-07-07,EMP_003171
Amina Yusuf,Federal Roads Maintenance Agency,350561,7457654284,Zenith,BIO_46836,87.2,2022-10-15,EMP_003172
Kemi Williams,Civil Service Commission,177897,3947052810,UBA,BIO_81886,87.1,2022-02-28,EMP_003173
Bola Williams,Ministry of Agriculture,259754,9253020045,GTBank,BIO_28296,97.59,2024-09-15,EMP_003174
Bola Adebayo,Ministry of Education,197147,9173017936,UBA,BIO_43122,91.54,2019-06-02,EMP_003175
Bola Ogunlesi,Ministry of Agriculture,395234,8450809544,First Bank,BIO_61115,85.87,2024-04-23,EMP_003176
Ade Adeyemi,Nigeria Customs Service,318091,6396196281,Access,,99.9,2025-09-26,EMP_003177
Bola Adebayo,Federal Roads Maintenance Agency,373501,9411327940,First Bank,BIO_84991,97.96,2019-04-01,EMP_003178
Chukwu Eze,Nigeria Customs Service,409653,5220171049,Zenith,BIO_41218,95.57,2016-10-26,EMP_003179
Tayo Adeyemi,Ministry of Health,463185,5622139739,GTBank,BIO_52917,95.36,2021-07-21,EMP_003180
Chiamaka Eze,Nigeria Customs Service,317870,6103960310,Zenith,BIO_70140,90.5,2019-09-13,EMP_003181
Aisha Yusuf,Ministry of Works,148739,8086659445,GTBank,BIO_62945,89.69,2022-09-17,EMP_003182
Chukwu Obiora,Nigeria Customs Service,287996,8336197914,UBA,BIO_44542,95.87,2019-09-20,EMP_003183
Tayo Williams,Civil Service Commission,115689,3443750695,GTBank,BIO_76028,94.42,2023-01-03,EMP_003184
Yemi Ogunlesi,Ministry of Power,82556,4868208697,Access,BIO_62485,87.9,2017-06-26,EMP_003185
Aisha Yusuf,Federal Roads Maintenance Agency,142205,1104279716,UBA,BIO_74837,86.05,2019-05-19,EMP_003186
Aisha Musa,Nigeria Customs Service,425116,6479149233,Zenith,BIO_10874,86.01,2019-06-18,EMP_003187
Chioma Okafor,Ministry of Water Resources,263436,1041360028,Access,BIO_64670,97.34,2022-09-20,EMP_003188
Uchenna Nwosu,Ministry of Water Resources,261978,8225987501,Access,BIO_20663,95.3,2020-08-01,EMP_003189
Chiamaka Ani,Civil Service Commission,174268,6764104351,Zenith,BIO_99759,95.69,2019-03-29,EMP_003190
Adaeze Nwankwo,Federal Roads Maintenance Agency,326782,1774521286,Zenith,BIO_71661,86.9,2025-05-07,EMP_003191
Chinedu Okafor,Federal Roads Maintenance Agency,460126,8596375737,First Bank,BIO_86054,93.45,2020-02-09,EMP_003192
Usman Yusuf,Federal Roads Maintenance Agency,273758,6232272735,UBA,BIO_25157,93.62,2021-11-07,EMP_003193
Nnamdi Onyeka,Ministry of Works,266029,1709023388,Zenith,BIO_75088,90.35,2018-06-30,EMP_003194
Usman Mohammed,Ministry of Water Resources,325223,7072908503,Zenith,BIO_57035,95.87,2024-11-23,EMP_003195
Abubakar Suleiman,Ministry of Agriculture,131753,6493165065,Zenith,BIO_30633,85.99,2024-01-12,EMP_003196
Zainab Musa,Federal Roads Maintenance Agency,451727,5374915926,UBA,,99.9,2025-06-22,EMP_003197
Chiamaka Eze,Ministry of Finance,394374,1761590565,First Bank,BIO_74574,87.93,2016-11-25,EMP_003198
Chukwu Okafor,Ministry of Agriculture,369514,1474143421,Access,BIO_73343,90.62,2019-07-09,EMP_003199
Chinedu Obiora,Ministry of Works,410506,9023792522,UBA,BIO_26556,96.19,2018-08-22,EMP_003200
Femi Adebayo,Ministry of Health,409262,1021848704,First Bank,BIO_61997,88.26,2023-05-04,EMP_003201
Zainab Yusuf,Ministry of Education,174283,3251587508,GTBank,BIO_39711,91.19,2024-02-23,EMP_003202
Hassan Umar,Civil Service Commission,172189,4140395218,GTBank,BIO_37405,94.7,2017-09-08,EMP_003203
Kemi Oyedepo,Ministry of Agriculture,95958,5033117446,UBA,BIO_63029,97.95,2021-12-08,EMP_003204
Bola Adeleke,Ministry of Agriculture,193608,1066117902,First Bank,BIO_37367,87.34,2020-06-19,EMP_003205
Uchenna Okonkwo,Ministry of Water Resources,209961,4658570083,Access,BIO_58856,94.02,2022-12-18,EMP_003206
Dele Adeleke,Federal Roads Maintenance Agency,318225,2176525293,GTBank,BIO_24693,95.82,2022-07-11,EMP_003207
Dele Adeyemi,Nigeria Customs Service,279207,4364849512,UBA,BIO_57574,88.18,2019-07-17,EMP_003208
Nnamdi Obiora,Ministry of Water Resources,308353,5614966192,UBA,,99.9,2024-11-08,EMP_003209
Okechukwu Okonkwo,Civil Service Commission,253622,3873816124,UBA,BIO_33851,88.4,2019-07-22,EMP_003210
Hassan Ibrahim,Ministry of Finance,149464,3258506260,UBA,BIO_43456,95.81,2016-11-22,EMP_003211
Fatima Mohammed,Ministry of Health,349451,2252069702,GTBank,BIO_12389,95.6,2017-09-30,EMP_003212
Chinedu Okonkwo,Ministry of Agriculture,482061,4711161990,Zenith,BIO_71421,90.52,2022-06-13,EMP_003213
Hassan Mohammed,Ministry of Agriculture,493920,8342724039,Zenith,BIO_27220,87.15,2020-11-30,EMP_003214
Bola Ogunlesi,Nigeria Customs Service,1308052,4003608686,Zenith,BIO_11326,92.3,2026-04-23,EMP_003215
Okechukwu Nwankwo,Federal Roads Maintenance Agency,452083,9532195317,Access,BIO_30029,88.1,2024-11-13,EMP_003216
Chinedu Nwosu,Ministry of Health,163481,9838130634,GTBank,BIO_21871,99.06,2020-04-01,EMP_003217
Usman Musa,Ministry of Works,406977,8430117376,Zenith,BIO_53133,85.64,2018-06-21,EMP_003218
Bola Adeyemi,Nigeria Customs Service,227303,1521476422,Access,BIO_75322,92.91,2023-08-02,EMP_003219
Fatima Musa,Ministry of Finance,439061,4159874148,First Bank,BIO_50477,85.98,2019-11-23,EMP_003220
Kemi Adeleke,Ministry of Water Resources,209537,4887929623,GTBank,BIO_10958,99.23,2024-04-27,EMP_003221
Hassan Mohammed,Nigeria Customs Service,448718,4067318702,First Bank,BIO_34996,94.29,2023-01-22,EMP_003222
Hassan Umar,Civil Service Commission,151584,5413896614,Zenith,BIO_90233,93.95,2021-11-20,EMP_003223
Yemi Adeyemi,Nigeria Customs Service,381650,4548995085,GTBank,BIO_28992,94.27,2016-08-04,EMP_003224
Chukwu Okonkwo,Ministry of Power,207061,6474990685,Access,BIO_15019,87.95,2018-07-24,EMP_003225
Ade Adeleke,Ministry of Education,382163,1820342085,Access,BIO_92468,86.31,2025-04-27,EMP_003226
Hassan Ibrahim,Federal Roads Maintenance Agency,265461,9774455263,First Bank,BIO_81965,91.99,2020-06-30,EMP_003227
Chiamaka Ani,Ministry of Agriculture,398959,7067108488,Zenith,BIO_61373,90.93,2022-08-02,EMP_003228
Hassan Yusuf,Civil Service Commission,128036,2867780177,Zenith,BIO_24572,94.86,2019-04-21,EMP_003229
Uchenna Nwosu,Ministry of Power,428196,3829732530,Zenith,BIO_12547,96.31,2022-08-12,EMP_003230
Chioma Obiora,Ministry of Water Resources,489469,5246849415,GTBank,BIO_35637,91.65,2018-07-23,EMP_003231
Kemi Adeleke,Ministry of Power,149213,8314851105,Access,BIO_27538,97.2,2021-08-21,EMP_003232
Hassan Ibrahim,Ministry of Education,320347,6631138425,GTBank,BIO_18952,88.97,2018-11-20,EMP_003233
Zainab Suleiman,Ministry of Agriculture,181566,6043218273,First Bank,BIO_25319,89.33,2023-07-24,EMP_003234
Abubakar Ibrahim,Ministry of Education,238299,9455582523,Zenith,BIO_35812,89.3,2022-07-21,EMP_003235
Fatima Umar,Ministry of Works,209354,3226885376,Access,BIO_37011,85.29,2023-02-04,EMP_003236
Okechukwu Nwosu,Ministry of Health,499553,9455667438,First Bank,BIO_59879,85.16,2025-04-05,EMP_003237
Usman Mohammed,Ministry of Water Resources,182267,6865345757,GTBank,BIO_56639,99.27,2018-07-22,EMP_003238
Dele Adeyemi,Ministry of Works,411624,3217317109,First Bank,BIO_45153,97.1,2022-08-12,EMP_003239
Okechukwu Nwosu,Ministry of Education,244430,9514744483,GTBank,BIO_43476,91.92,2024-12-09,EMP_003240
Tayo Williams,Ministry of Agriculture,372507,2869987152,Zenith,BIO_65159,85.58,2019-01-17,EMP_003241
Chiamaka Onyeka,Ministry of Water Resources,172282,8398986589,Zenith,BIO_63623,96.58,2019-01-01,EMP_003242
Zainab Mohammed,Ministry of Finance,244026,1191510983,Zenith,BIO_47391,90.94,2023-03-10,EMP_003243
Aisha Ahmad,Ministry of Education,374030,4187278124,Access,BIO_82498,87.32,2016-11-26,EMP_003244
Chinedu Okonkwo,Ministry of Water Resources,360359,5152712980,GTBank,BIO_71885,97.97,2016-06-28,EMP_003245
Fatima Ibrahim,Federal Roads Maintenance Agency,292002,3364389439,GTBank,BIO_58433,94.1,2022-05-31,EMP_003246
Hassan Musa,Nigeria Customs Service,355744,6052545653,First Bank,BIO_54970,96.07,2022-10-31,EMP_003247
Ibrahim Musa,Nigeria Customs Service,247432,8907727728,UBA,BIO_74661,94.7,2017-11-22,EMP_003248
Uchenna Onyeka,Federal Roads Maintenance Agency,323967,7745273223,UBA,BIO_94610,86.4,2022-09-09,EMP_003249
Bola Adeyemi,Ministry of Power,1146365,9023689455,UBA,BIO_34784,88.13,2026-02-12,EMP_003250
Bola Adeyemi,Ministry of Works,326899,9871312668,Access,BIO_88410,91.0,2024-05-31,EMP_003251
Abubakar Suleiman,Ministry of Education,378365,9937703786,UBA,BIO_36715,88.72,2016-08-17,EMP_003252
Okechukwu Nwankwo,Federal Roads Maintenance Agency,241498,8720413717,First Bank,BIO_48920,97.36,2017-08-09,EMP_003253
Ibrahim Umar,Civil Service Commission,242684,2106330785,Zenith,BIO_39115,90.69,2018-06-26,EMP_003254
Abubakar Musa,Ministry of Agriculture,451997,1071873735,GTBank,BIO_84463,93.71,2020-11-14,EMP_003255
Kemi Williams,Civil Service Commission,443167,5216715683,Zenith,BIO_19655,91.27,2022-03-18,EMP_003256
Fatima Ibrahim,Nigeria Customs Service,357765,8938668911,GTBank,BIO_84570,99.6,2020-10-09,EMP_003257
Fatima Yusuf,Ministry of Agriculture,407181,4126274520,GTBank,BIO_15297,92.73,2021-01-30,EMP_003258
Femi Oyedepo,Ministry of Health,306854,6297961913,GTBank,BIO_55441,89.42,2024-09-09,EMP_003259
Bola Adebayo,Civil Service Commission,218365,6551794421,Access,BIO_35316,95.02,2017-12-24,EMP_003260
Hassan Yusuf,Federal Roads Maintenance Agency,243772,8598985433,Zenith,BIO_82171,85.48,2017-04-16,EMP_003261
Nnamdi Ani,Ministry of Finance,365031,4049789382,First Bank,BIO_57816,88.73,2021-06-19,EMP_003262
Kemi Adeyemi,Ministry of Agriculture,469949,2307723571,UBA,BIO_50582,89.7,2018-03-07,EMP_003263
Hassan Ahmad,Ministry of Agriculture,198098,2596588493,UBA,BIO_26337,96.1,2016-08-21,EMP_003264
Kemi Adeleke,Nigeria Customs Service,281161,3648354549,Access,BIO_26350,91.54,2022-12-17,EMP_003265
Uchenna Ani,Ministry of Health,362878,5675631879,Access,BIO_96426,87.46,2023-09-23,EMP_003266
Chinedu Okonkwo,Ministry of Agriculture,311629,9049519657,GTBank,BIO_46807,98.93,2022-09-02,EMP_003267
Uchenna Nwankwo,Federal Roads Maintenance Agency,292997,7160628766,GTBank,BIO_75633,89.12,2024-03-19,EMP_003268
Ibrahim Musa,Nigeria Customs Service,485631,5259454799,UBA,BIO_48756,95.65,2017-09-01,EMP_003269
Tayo Williams,Ministry of Finance,311197,8817200600,First Bank,BIO_35802,90.46,2020-02-04,EMP_003270
Abubakar Suleiman,Civil Service Commission,145540,5265279513,Zenith,BIO_48452,86.41,2022-03-23,EMP_003271
Chinedu Obiora,Ministry of Power,133412,2500145662,UBA,BIO_89872,93.72,2024-01-28,EMP_003272
Nnamdi Okafor,Ministry of Power,499814,8598973106,UBA,BIO_84923,90.61,2022-12-22,EMP_003273
Fatima Mohammed,Ministry of Agriculture,451126,8031620941,Zenith,BIO_62778,86.26,2017-04-24,EMP_003274
Bola Ogunlesi,Nigeria Customs Service,142997,2071405318,Access,BIO_14376,94.32,2021-01-12,EMP_003275
Uchenna Okonkwo,Civil Service Commission,143437,2808397825,GTBank,BIO_78302,87.6,2022-02-27,EMP_003276
Tunde Williams,Ministry of Power,89489,4358229939,First Bank,BIO_74898,93.56,2019-05-08,EMP_003277
Chiamaka Eze,Ministry of Power,141993,6864758792,GTBank,BIO_53875,93.07,2024-11-02,EMP_003278
Bola Oyedepo,Ministry of Finance,362219,3308937697,First Bank,BIO_36860,91.27,2023-08-20,EMP_003279
Femi Ogunlesi,Ministry of Agriculture,356428,4541143964,GTBank,BIO_20774,90.04,2022-02-24,EMP_003280
Tayo Adebayo,Ministry of Finance,207088,3303764603,UBA,BIO_63299,89.31,2017-03-15,EMP_003281
Fatima Yusuf,Nigeria Customs Service,343697,9657422606,First Bank,BIO_75031,92.22,2022-09-04,EMP_003282
Femi Williams,Federal Roads Maintenance Agency,350692,6905763419,Access,BIO_83756,90.73,2022-10-03,EMP_003283
Chinedu Obiora,Nigeria Customs Service,425016,1355657488,First Bank,BIO_50312,96.85,2018-04-02,EMP_003284
Chinedu Ani,Civil Service Commission,306992,1845323623,First Bank,BIO_91181,93.24,2017-02-17,EMP_003285
Okechukwu Okonkwo,Ministry of Power,274278,1781031850,First Bank,BIO_98420,95.78,2023-09-04,EMP_003286
Usman Umar,Nigeria Customs Service,322677,2320369212,UBA,BIO_51965,91.94,2018-02-19,EMP_003287
Zainab Ibrahim,Ministry of Agriculture,120980,4481752318,Access,BIO_13348,87.68,2023-03-28,EMP_003288
Tayo Oyedepo,Civil Service Commission,104807,6242254527,UBA,BIO_47776,91.29,2017-02-27,EMP_003289
Ibrahim Musa,Ministry of Education,96946,4718980491,GTBank,BIO_18046,88.97,2022-04-26,EMP_003290
Usman Yusuf,Ministry of Water Resources,108010,1347547143,GTBank,BIO_38069,85.03,2018-08-24,EMP_003291
